Time,Source,Destination,Protocol,Length,portnumber,Info
2015-10-2409:43:15,192.168.0.105,192.168.0.1,DNS,76,53,www.google.co.in
2015-10-2409:43:15,192.168.0.105,192.168.0.1,DNS,75,53,apis.google.com
2015-10-2409:43:15,192.168.0.105,192.168.0.1,DNS,75,53,id.google.co.in
2015-10-2409:43:15,192.168.0.105,192.168.0.1,DNS,75,53,www.gstatic.com
2015-10-2409:43:15,192.168.0.105,192.168.0.1,DNS,75,53,ssl.gstatic.com
2015-10-2409:43:16,192.168.0.105,192.168.0.1,DNS,76,53,www.google.co.in
2015-10-2409:43:16,192.168.0.105,192.168.0.1,DNS,75,53,apis.google.com
2015-10-2409:43:16,192.168.0.105,192.168.0.1,DNS,75,53,id.google.co.in
2015-10-2409:43:16,192.168.0.105,192.168.0.1,DNS,75,53,www.gstatic.com
2015-10-2409:43:16,192.168.0.105,192.168.0.1,DNS,75,53,ssl.gstatic.com
2015-10-2409:43:17,192.168.0.105,192.168.0.1,DNS,76,53,www.google.co.in
2015-10-2409:43:17,192.168.0.105,192.168.0.1,DNS,75,53,apis.google.com
2015-10-2409:43:17,192.168.0.105,192.168.0.1,DNS,75,53,id.google.co.in
2015-10-2409:43:17,192.168.0.105,192.168.0.1,DNS,75,53,www.gstatic.com
2015-10-2409:43:17,192.168.0.105,192.168.0.1,DNS,75,53,ssl.gstatic.com
2015-10-2409:43:22,192.168.0.105,192.168.0.1,DNS,81,53,client-cf.dropbox.com
2015-10-2409:43:27,192.168.0.105,192.168.0.1,DNS,86,53,android.clients.google.com
2015-10-2409:43:31,192.168.0.105,192.168.0.1,DNS,70,53,recode.net
2015-10-2409:43:34,192.168.0.105,192.168.0.1,DNS,85,53,www.googletagservices.com
2015-10-2409:43:34,192.168.0.105,192.168.0.1,DNS,88,53,partner.googleadservices.com
2015-10-2409:43:34,192.168.0.105,192.168.0.1,DNS,81,53,r-login.wordpress.com
2015-10-2409:43:34,192.168.0.105,192.168.0.1,DNS,69,53,s2.wp.com
2015-10-2409:43:34,192.168.0.105,192.168.0.1,DNS,69,53,s0.wp.com
2015-10-2409:43:35,192.168.0.105,192.168.0.1,DNS,69,53,s1.wp.com
2015-10-2409:43:35,192.168.0.105,192.168.0.1,DNS,80,53,platform.twitter.com
2015-10-2409:43:35,192.168.0.105,192.168.0.1,DNS,79,53,pdk.theplatform.com
2015-10-2409:43:36,192.168.0.105,192.168.0.1,DNS,80,53,widgets.outbrain.com
2015-10-2409:43:36,192.168.0.105,192.168.0.1,DNS,72,53,a.adroll.com
2015-10-2409:43:36,192.168.0.105,192.168.0.1,DNS,77,53,ads.adelement.com
2015-10-2409:43:36,192.168.0.105,192.168.0.1,DNS,101,53,adx-winners-ap-southeast-1-rtb.adroll.com
2015-10-2409:43:36,192.168.0.105,192.168.0.1,DNS,72,53,c.betrad.com
2015-10-2409:43:36,192.168.0.105,192.168.0.1,DNS,72,53,l.betrad.com
2015-10-2409:43:36,192.168.0.105,192.168.0.1,DNS,72,53,d.adroll.com
2015-10-2409:43:36,192.168.0.105,192.168.0.1,DNS,89,53,pagead2.googlesyndication.com
2015-10-2409:43:36,192.168.0.105,192.168.0.1,DNS,78,53,ad.doubleclick.net
2015-10-2409:43:36,192.168.0.105,192.168.0.1,DNS,90,53,securepubads.g.doubleclick.net
2015-10-2409:43:36,192.168.0.105,192.168.0.1,DNS,72,53,stats.wp.com
2015-10-2409:43:37,192.168.0.105,192.168.0.1,DNS,75,53,use.typekit.net
2015-10-2409:43:37,192.168.0.105,192.168.0.1,DNS,78,53,cdn.userreport.com
2015-10-2409:43:37,192.168.0.105,192.168.0.1,DNS,79,53,a.visualrevenue.com
2015-10-2409:43:37,192.168.0.105,192.168.0.1,DNS,81,53,chart.apis.google.com
2015-10-2409:43:37,192.168.0.105,192.168.0.1,DNS,90,53,recodetech.files.wordpress.com
2015-10-2409:43:38,192.168.0.105,192.168.0.1,DNS,84,53,www.googletagmanager.com
2015-10-2409:43:38,192.168.0.105,192.168.0.1,DNS,72,53,cdn.krxd.net
2015-10-2409:43:40,192.168.0.105,192.168.0.1,DNS,73,53,instagram.com
2015-10-2409:43:40,192.168.0.105,192.168.0.1,DNS,73,53,pinterest.com
2015-10-2409:43:40,192.168.0.105,192.168.0.1,DNS,75,53,plus.google.com
2015-10-2409:43:40,192.168.0.105,192.168.0.1,DNS,76,53,vrt.outbrain.com
2015-10-2409:43:40,192.168.0.105,192.168.0.1,DNS,76,53,vrp.outbrain.com
2015-10-2409:43:40,192.168.0.105,192.168.0.1,DNS,71,53,twitter.com
2015-10-2409:43:40,192.168.0.105,192.168.0.1,DNS,67,53,vine.co
2015-10-2409:43:40,192.168.0.105,192.168.0.1,DNS,76,53,www.facebook.com
2015-10-2409:43:41,192.168.0.105,192.168.0.1,DNS,76,53,www.linkedin.com
2015-10-2409:43:41,192.168.0.105,192.168.0.1,DNS,75,53,www.youtube.com
2015-10-2409:43:42,192.168.0.105,192.168.0.1,DNS,84,53,www.google-analytics.com
2015-10-2409:43:42,192.168.0.105,192.168.0.1,DNS,91,53,settingsbucket.s3.amazonaws.com
2015-10-2409:43:42,192.168.0.105,192.168.0.1,DNS,83,53,b.scorecardresearch.com
2015-10-2409:43:42,192.168.0.105,192.168.0.1,DNS,84,53,recodetech.wordpress.com
2015-10-2409:43:44,192.168.0.105,192.168.0.1,DNS,73,53,p.typekit.net
2015-10-2409:43:44,192.168.0.105,192.168.0.1,DNS,83,53,stats.g.doubleclick.net
2015-10-2409:43:44,192.168.0.105,192.168.0.1,DNS,77,53,vip.wordpress.com
2015-10-2409:43:44,192.168.0.105,192.168.0.1,DNS,77,53,www.pinterest.com
2015-10-2409:43:44,192.168.0.105,192.168.0.1,DNS,82,53,www.recodereprints.com
2015-10-2409:43:44,192.168.0.105,192.168.0.1,DNS,76,53,odb.outbrain.com
2015-10-2409:43:44,192.168.0.105,192.168.0.1,DNS,76,53,www.theverge.com
2015-10-2409:43:44,192.168.0.105,192.168.0.1,DNS,76,53,www.voxmedia.com
2015-10-2409:43:45,192.168.0.105,192.168.0.1,DNS,80,53,cm.g.doubleclick.net
2015-10-2409:43:45,192.168.0.105,192.168.0.1,DNS,84,53,pixel.rubiconproject.com
2015-10-2409:43:45,192.168.0.105,192.168.0.1,DNS,70,53,d.agkn.com
2015-10-2409:43:45,192.168.0.105,192.168.0.1,DNS,87,53,googleads.g.doubleclick.net
2015-10-2409:43:47,192.168.0.105,192.168.0.1,DNS,79,53,cdn.api.twitter.com
2015-10-2409:43:47,192.168.0.105,192.168.0.1,DNS,77,53,api.pinterest.com
2015-10-2409:43:47,192.168.0.105,192.168.0.1,DNS,78,53,graph.facebook.com
2015-10-2409:43:47,192.168.0.105,192.168.0.1,DNS,72,53,pixel.wp.com
2015-10-2409:43:48,192.168.0.105,192.168.0.1,DNS,79,53,clients1.google.com
2015-10-2409:43:49,192.168.0.105,192.168.0.1,DNS,78,53,cms.quantserve.com
2015-10-2409:43:49,192.168.0.105,192.168.0.1,DNS,77,53,goog.applovin.com
