"Time","Source","Destination","Protocol","Length","port number","Info"
"2015-10-24 09:43:15","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x348f  A www.google.co.in"
"2015-10-24 09:43:15","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x690c  A apis.google.com"
"2015-10-24 09:43:15","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x5c5f  A id.google.co.in"
"2015-10-24 09:43:15","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x9804  A www.gstatic.com"
"2015-10-24 09:43:15","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0xd9bd  A ssl.gstatic.com"
"2015-10-24 09:43:16","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x348f  A www.google.co.in"
"2015-10-24 09:43:16","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x690c  A apis.google.com"
"2015-10-24 09:43:16","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x5c5f  A id.google.co.in"
"2015-10-24 09:43:16","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x9804  A www.gstatic.com"
"2015-10-24 09:43:16","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0xd9bd  A ssl.gstatic.com"
"2015-10-24 09:43:17","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x348f  A www.google.co.in"
"2015-10-24 09:43:17","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x690c  A apis.google.com"
"2015-10-24 09:43:17","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x5c5f  A id.google.co.in"
"2015-10-24 09:43:17","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x9804  A www.gstatic.com"
"2015-10-24 09:43:17","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0xd9bd  A ssl.gstatic.com"
"2015-10-24 09:43:22","192.168.0.105","192.168.0.1","DNS","81","53","Standard query 0x81a5  A client-cf.dropbox.com"
"2015-10-24 09:43:27","192.168.0.105","192.168.0.1","DNS","86","53","Standard query 0x17a6  A android.clients.google.com"
"2015-10-24 09:43:31","192.168.0.105","192.168.0.1","DNS","70","53","Standard query 0xadaf  A recode.net"
"2015-10-24 09:43:34","192.168.0.105","192.168.0.1","DNS","85","53","Standard query 0x7af8  A www.googletagservices.com"
"2015-10-24 09:43:34","192.168.0.105","192.168.0.1","DNS","88","53","Standard query 0x6429  A partner.googleadservices.com"
"2015-10-24 09:43:34","192.168.0.105","192.168.0.1","DNS","81","53","Standard query 0x0479  A r-login.wordpress.com"
"2015-10-24 09:43:34","192.168.0.105","192.168.0.1","DNS","69","53","Standard query 0xaca1  A s2.wp.com"
"2015-10-24 09:43:34","192.168.0.105","192.168.0.1","DNS","69","53","Standard query 0xc167  A s0.wp.com"
"2015-10-24 09:43:35","192.168.0.105","192.168.0.1","DNS","69","53","Standard query 0x8c77  A s1.wp.com"
"2015-10-24 09:43:35","192.168.0.105","192.168.0.1","DNS","80","53","Standard query 0xf2d3  A platform.twitter.com"
"2015-10-24 09:43:35","192.168.0.105","192.168.0.1","DNS","79","53","Standard query 0x9005  A pdk.theplatform.com"
"2015-10-24 09:43:36","192.168.0.105","192.168.0.1","DNS","80","53","Standard query 0xe89f  A widgets.outbrain.com"
"2015-10-24 09:43:36","192.168.0.105","192.168.0.1","DNS","72","53","Standard query 0x3aed  A a.adroll.com"
"2015-10-24 09:43:36","192.168.0.105","192.168.0.1","DNS","77","53","Standard query 0x9204  A ads.adelement.com"
"2015-10-24 09:43:36","192.168.0.105","192.168.0.1","DNS","101","53","Standard query 0x668f  A adx-winners-ap-southeast-1-rtb.adroll.com"
"2015-10-24 09:43:36","192.168.0.105","192.168.0.1","DNS","72","53","Standard query 0xe35a  A c.betrad.com"
"2015-10-24 09:43:36","192.168.0.105","192.168.0.1","DNS","72","53","Standard query 0x2905  A l.betrad.com"
"2015-10-24 09:43:36","192.168.0.105","192.168.0.1","DNS","72","53","Standard query 0x9d15  A d.adroll.com"
"2015-10-24 09:43:36","192.168.0.105","192.168.0.1","DNS","89","53","Standard query 0xd071  A pagead2.googlesyndication.com"
